"","digit","X1","X2","X3","X4","X5","X6","X7","X8"
"1","5",210.44039102384,144.343393486719,13.5176051239901,0,0,0,0,0
"2","0",42.775710315587,18.4735684201976,16.756575912507,13.5176051239901,5.32693807995002,0.253581653621522,961.312686273717,11.9938184423205
"3","4",187.496042214918,144.209882774834,82.0405752501514,38.0823496867614,0,0,0,0
"4","1",2.30880174724552,0.772936621386152,0.772936621386152,0,0,0,0,0
"5","9",214.75920008555,144.710743866695,38.4549629090943,25.8060808019972,9.13113385819842,5.33506015377607,878.490227846746,22.0295095198245
"6","2",162.328156595442,33.9282885498735,10.5174379529881,9.12731908721689,0,0,993.82665200233,27.766674895761
"7","1",1.47297737174957,0.772860153915691,0.772860153915691,0,0,0,0,0
"8","3",1.47297737174957,0.253581653621522,0,0,0,0,0,0
"9","1",15.1204716068974,0,0,0,0,0,0,0
"10","4",80.1617313058117,62.3516603640325,50.9626763928447,27.7695509025044,18.4583252379581,3.95129021990922,0,0
"11","3",70.3012484634717,0.252730078436702,0,0,0,0,0,0
"12","5",674.024495688889,156.030877988516,78.3954448307007,56.7606714076946,42.0916761386417,14.3004102174513,0,0
"13","3",3.20532805707888,0,0,0,0,0,0,0
"14","6",51.9755337126378,25.8181265518771,13.5176051239901,5.32693807995002,0.253581653621522,0.253581653621522,910.049338213591,0
"15","1",0.253045793210721,0,0,0,0,0,0,0
"16","7",105.13080253086,13.5176051239901,0,0,0,0,0,0
"17","2",196.428420842863,95.1601521865765,84.0576102457059,59.8086342816159,38.7072746828615,10.1729949506266,645.506186080002,2.29500178093818
"18","8",49.8174029587764,20.2241713222716,6.53550589108525,0.252730078436702,0.252730078436702,0.252730078436702,1046.58953600934,961.312686273717
"19","6",398.598632055567,257.329105492442,175.420306995745,130.621804216892,116.429333948664,103.473175500289,0,0
"20","9",183.754799874859,40.6671507577836,10.1571888854767,5.33506015377607,0,0,473.071921135149,0
"21","4",0,0,0,0,0,0,0,0
"22","0",23.9945081395143,0.772936621386152,0.772936621386152,0.772936621386152,0.772936621386152,0.772936621386152,935.563968544083,0.265488059009244
"23","9",73.0189229558887,72.2714165546955,68.4187789907133,57.0894592246188,48.2900743648336,41.0107093637085,498.829697738817,0
"24","1",0.813271152363064,0.252730078436702,0,0,0,0,0,0
"25","1",54.7143993951235,27.7684257202564,22.0439513072612,16.7581849390913,7.77697362936319,4.24218888374822,0,0
"26","2",1.47260553023172,0,0,0,0,0,0,0
"27","4",291.975403454361,183.339934280354,166.416356935202,109.33566376757,49.7389219613246,23.8937785320329,0,0
"28","3",108.237099077203,0,0,0,0,0,0,0
"29","2",57.2191383474956,0,0,0,0,0,0,0
